event_id,machine_id,event_ts,event_type,component_replaced,downtime_hours,cost_usd
7001,1001,2024-01-18 09:00:00,inspection,air filter,1.5,420.00
7002,1001,2024-01-22 07:00:00,scheduled,engine oil and filter,3.0,1850.00
7003,1002,2024-01-15 08:00:00,scheduled,transmission filter,4.5,3260.00
7004,1003,2024-01-13 10:30:00,inspection,transmission oil sample,1.0,310.00
7005,1003,2024-01-20 06:00:00,unplanned,transmission temperature sensor,6.0,4920.00
7006,1004,2024-01-16 07:15:00,scheduled,undercarriage rollers,8.0,12600.00
7007,1005,2024-01-12 12:00:00,inspection,hydraulic filter,2.0,780.00
7008,1005,2024-01-19 06:30:00,scheduled,hydraulic filter,3.5,1640.00
7009,1006,2024-01-14 09:00:00,scheduled,engine oil and filter,2.5,970.00
7010,1006,2024-01-18 13:00:00,unplanned,battery,1.5,560.00
7011,1007,2024-01-15 07:30:00,inspection,hydraulic oil sample,1.0,285.00
7012,1007,2024-01-21 05:45:00,unplanned,hydraulic cooler hose,7.0,3850.00
7013,1008,2024-01-17 08:15:00,scheduled,bucket teeth,2.0,1250.00
7014,1009,2024-01-13 11:00:00,inspection,final drive filter,1.5,630.00
7015,1010,2024-01-14 06:00:00,inspection,driveline inspection,2.5,910.00
7016,1010,2024-01-23 07:00:00,unplanned,center drive shaft,10.0,8400.00
7017,1011,2024-01-18 08:00:00,scheduled,engine oil and filter,2.5,890.00
7018,1012,2024-01-20 09:30:00,inspection,GPS antenna,1.0,340.00
7019,1013,2024-01-22 06:30:00,scheduled,undercarriage inspection,3.0,1120.00
7020,1014,2024-01-24 07:00:00,scheduled,brake service,5.0,4680.00
7021,1015,2024-01-25 08:30:00,scheduled,hydraulic filter,2.0,760.00
7022,1016,2024-01-26 09:00:00,scheduled,engine oil and filter,2.0,810.00
7023,1017,2024-01-27 06:15:00,inspection,blade cutting edge,1.5,520.00
7024,1018,2024-01-28 07:45:00,scheduled,articulation bearing,4.0,2740.00
